tags,channelId,channelTitle,categoryId,title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,polarity,I_k
"['sars', '2003', 'epidemic', 'pandemic', 'outbreak', 'lesson', 'china', 'mask', 'shortage', 'ventilator', 'supply', 'inadequate', 'protective', 'equipment', 'short', 'less', 'how to prevent']",UCOmrniWfKi-uCD6Oh6fqhgw,MEDSimplified,27,LESSONS WE SHOULD HAVE LEARNT FROM SARS 2003,fQCl2Y20DuQ,34463,546,42,105,0,0,0
"['penn medicine', 'pennmedicine', 'Coronavirus', 'COVID-19', 'Dr. John Everett', 'genome sequencing', 'pandemic', 'Philadelphia']",UC36Nlm8ikeZ4tDRx__BjJnA,Penn Medicine,28,COVID-19 Symposium: SARS-CoV-2 Genome Sequencing as a Window on the Epidemic | Dr. John Everett,143HvjYD3XQ,6485,66,4,8,0,0,0
"['BBC', 'BBC World Service', 'Discovery', 'Podcasts', 'Radio', 'Podcast', 'spotify', 'sars', 'Severe Acute Respiratory Syndrome', 'china', 'hong kong', 'dr tom buckley', 'tom buckley', 'William Ho', 'coronavirus', 'covid 19', 'covid-19', 'covid', 'virus', 'pandemic', 'epidemic', 'corona sars', 'sars covid', 'sars covid 19', 'coronavirus tips', 'pandemic coronavirus', 'corona pandemic', 'covid pandemic', 'corona virus pandemic', 'corona virus', 'respiratory disease']",UCQXHTFnQYFTqN0MqmNh9EIA,BBC World Service,28,Covid-19 and Sars: How the world battled a deadly respiratory disease in 2003 - BBC World Service,Hy5gplP0JVw,5408,55,2,6,0,-0.2,-0.00848
No Tags,UCCgQaXjsJ6EdFPZeTFQoSyw,Brut India,25,#TBT The 2003 SARS Coronavirus Outbreak,oIZhG-wE_7M,2386,18,40,17,0,0,0
No Tags,UCgttjcFyP8R06mm3SJcsUcw,LurieCancerCenter,29,"Interferon Treatment for Global Virus Outbreaks: SARS and COVID-19 (May 8, 2020)",gGoWpzHs0xQ,2352,40,2,8,0,0,0
"['France 24', 'News', 'F24', 'news', 'Latest', 'Tedros', 'Debate', 'Pierre Haski', 'France 24 Debate', 'China', 'SARS', 'Covid-19', 'coronavirus', 'Beijing', 'WHO', 'World Health Organization', 'United Nations', 'Donald Trump', 'UN', 'USA', 'pandemic', 'transparency']",UCQfwfsi5VrQ8yKZ-UWmAEFg,FRANCE 24 English,25,Covid-19 &amp; China: WHO was more independent voice during SARS outbreak - Pierre Haski,PTLHCSM9DbM,1674,26,7,10,0,0.25,0.00304
"['DW News', 'astrazeneca', 'coronavirus vaccine', 'south africa', 'vaccine', 'vaccine access', 'vaccination', 'vaccine europe', 'coronavirus pandemic', 'astra zeneca', 'covid south africa', 'covid mutation', 'coronavirus strain', 'coronavirus', 'coronavirus news', 'covid 19', 'coronavirus lockdown', 'virus mutation']",UCknLrEdhRCp1aegoMqRaCZg,DW News,25,Germany temporarily halts AstraZeneca vaccinations | Coronavirus latest,jJX87rjZPzc,167891,2025,241,1337,0,0.5,0.7136
"['bbc', 'bbc news', 'news']",UC16niRr50-MSBwiO3YDb3RA,BBC News,25,What happens if I don&#39;t get the Covid vaccine? - BBC News,xong5K4om2U,103329,1052,2020,3311,0,0,0
"['NDTV 24x7', 'Coronavirus vaccination', 'comorbidities patients vaccination', 'covid 19', 'TV Clip', 'Regular News bulletin', 'coronavirus', 'corona', 'corona virus', 'covid', 'coronavirus in india', 'NDTV', 'coronavirus in India', 'covid-19', 'covid-19 in india', 'coronavirus vaccine', 'coronavirus cases in india', 'corona in India', 'senior citizens vaccination', 'nidhi Kulpati', 'Coronavirus India Updates', 'Coronavirus India', 'Covid-19 Cases', 'Coronavirus India Cases', 'Coronavirus Updates', 'Coronavirus Lockdown']",UCZFMm1mMw0F81Z37aaEzTUA,NDTV,25,Coronavirus Vaccine | Covid Vaccine Jab Capped At Rs 250 At Private Hospitals: Government,bd-8ydX2ElA,7402,51,8,15,0,0,0
"['NDTV 24x7', 'Covid Vaccine', 'Coronavirus Vaccination', 'Vaccination Drive', 'Facts Vs Myths', 'Covid Vaccination', 'Coronavirus Vaccine', 'Covid-19 India Update', 'COVID-19', 'Coronavirus India', 'Coronavirus Updates', 'Gargi Rawat', 'PM Modi gets vaccine dose', 'AIIMS hospital', 'Bharat Biotech', 'Coronavirus Vaccination Phase 2', 'covid vaccination phase 2', 'Coronavirus: Facts Vs Myths', 'CoronavirusSpecialExperts', 'Maharashtra Man Dies after Vaccination', 'TV Clip', 'Explainer']",UCZFMm1mMw0F81Z37aaEzTUA,NDTV,25,"Coronavirus Vaccination | Maharashtra Man Dies Shortly After 2nd Jab, &quot;Cause Not Known&quot;",A9BiDRKdI24,16454,152,22,60,0,0,0
